Photon    Coherent Incoher. Photoel. 
ton    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-02 4.192E-01 1.194E-01 1.909E+01 1.963E+01 1.921E+01 
1.500E-02 2.435E-01 1.376E-01 5.659E+00 6.040E+00 5.797E+00 
2.000E-02 1.603E-01 1.473E-01 2.348E+00 2.656E+00 2.496E+00 
2.500E-02 1.141E-01 1.527E-01 1.177E+00 1.444E+00 1.330E+00 
3.000E-02 8.561E-02 1.557E-01 6.662E-01 9.075E-01 8.219E-01 
3.500E-02 6.665E-02 1.572E-01 4.104E-01 6.342E-01 5.676E-01 
4.000E-02 5.336E-02 1.577E-01 2.692E-01 4.802E-01 4.269E-01 
4.500E-02 4.366E-02 1.576E-01 1.853E-01 3.865E-01 3.428E-01 
5.000E-02 3.637E-02 1.570E-01 1.325E-01 3.259E-01 2.895E-01 
5.500E-02 3.075E-02 1.561E-01 9.778E-02 2.847E-01 2.539E-01 
6.000E-02 2.633E-02 1.551E-01 7.404E-02 2.554E-01 2.291E-01 
6.500E-02 2.280E-02 1.538E-01 5.731E-02 2.339E-01 2.112E-01 
7.000E-02 1.992E-02 1.525E-01 4.519E-02 2.176E-01 1.977E-01 
7.500E-02 1.756E-02 1.512E-01 3.622E-02 2.049E-01 1.874E-01 
8.000E-02 1.559E-02 1.498E-01 2.944E-02 1.948E-01 1.792E-01 
8.500E-02 1.393E-02 1.483E-01 2.423E-02 1.865E-01 1.726E-01 
9.000E-02 1.252E-02 1.469E-01 2.017E-02 1.796E-01 1.671E-01 
9.500E-02 1.132E-02 1.455E-01 1.695E-02 1.738E-01 1.624E-01 
1.000E-01 1.028E-02 1.441E-01 1.438E-02 1.687E-01 1.584E-01 
1.050E-01 9.377E-03 1.427E-01 1.229E-02 1.643E-01 1.550E-01 
1.100E-01 8.588E-03 1.413E-01 1.059E-02 1.605E-01 1.519E-01 
1.150E-01 7.894E-03 1.399E-01 9.179E-03 1.570E-01 1.491E-01 
1.200E-01 7.280E-03 1.386E-01 8.008E-03 1.539E-01 1.466E-01 
1.250E-01 6.735E-03 1.373E-01 7.026E-03 1.511E-01 1.443E-01 
1.300E-01 6.248E-03 1.360E-01 6.197E-03 1.485E-01 1.422E-01 
1.350E-01 5.812E-03 1.348E-01 5.492E-03 1.461E-01 1.403E-01 
1.400E-01 5.420E-03 1.336E-01 4.889E-03 1.439E-01 1.384E-01 
1.450E-01 5.067E-03 1.323E-01 4.371E-03 1.418E-01 1.367E-01 
1.500E-01 4.746E-03 1.312E-01 3.924E-03 1.398E-01 1.351E-01 
1.550E-01 4.455E-03 1.300E-01 3.534E-03 1.380E-01 1.336E-01 
1.600E-01 4.190E-03 1.289E-01 3.195E-03 1.363E-01 1.321E-01 


