# x(cm), mu_eff(1/cm), std_mu(1/cm), I_0, std_I_0, I(x), std_I(x)
0.20 2.85073385 0.02093475 9872.489841 25.786054 5582.324768 18.267499
0.40 2.11144209 0.01107394 9896.517295 25.729640 4252.921119 15.252427
0.60 1.75259405 0.00841944 9922.341872 26.015600 3466.801941 14.969527
0.80 1.53418141 0.00661223 9864.315746 25.752226 2890.931151 13.300273
1.00 1.38239999 0.00546032 9880.236146 25.733927 2479.697119 11.900281
1.20 1.27135150 0.00514840 9850.303689 25.939978 2142.300995 11.972723
1.40 1.18405602 0.00462917 9873.958377 26.099810 1881.788003 11.135081
1.60 1.11333484 0.00417649 9887.984881 25.537524 1665.265597 10.263223
1.80 1.05537493 0.00377879 9857.537030 25.649939 1474.857632 9.268642
2.00 1.00505668 0.00380597 9905.558872 25.880082 1327.082270 9.487994
2.20 0.96242888 0.00352205 9850.328558 25.922595 1185.496022 8.639804
2.40 0.92526233 0.00346697 9835.600290 25.802220 1067.563434 8.429862
2.60 0.89132911 0.00334010 9809.846729 26.016758 966.504768 7.992397
2.80 0.86123419 0.00318498 9789.585490 26.166679 877.975471 7.469785
3.00 0.83322879 0.00316867 9828.730720 26.244733 807.044419 7.362885
3.20 0.80720468 0.00312992 9847.254134 25.770112 743.889839 7.191794
3.40 0.78326047 0.00307040 9848.072160 25.906709 686.732891 6.937690
3.60 0.76163857 0.00290230 9819.289590 25.910928 632.832135 6.397672
3.80 0.74063744 0.00305272 9853.810484 26.261345 590.630867 6.668257
4.00 0.71411171 0.00284738 11014.305879 28.411040 633.020874 7.022472
