# x(cm), mu_eff(1/cm), std_mu(1/cm), I_0, std_I_0, I(x), std_I(x)
0.20 2.50694776 0.01689151 14074.082712 29.794620 8524.509185 22.442784
0.40 1.93852892 0.00914686 14058.453181 29.723875 6474.117453 19.331622
0.60 1.65030767 0.00678702 14065.001864 29.522288 5225.262156 18.233970
0.80 1.47069114 0.00555551 14021.659639 29.642905 4323.435489 16.902060
1.00 1.34270586 0.00468124 13999.897731 29.435893 3655.906816 15.290778
1.20 1.24336067 0.00423821 14056.346970 29.759608 3161.483036 14.619438
1.40 1.16506563 0.00367239 14024.012512 29.736192 2744.720234 12.855544
1.60 1.10215351 0.00363662 13987.586593 29.554721 2398.214852 13.001697
1.80 1.04815564 0.00340439 13991.140952 29.590773 2120.695696 12.196893
2.00 1.00151097 0.00328608 13988.029225 29.704733 1887.361779 11.738687
2.20 0.96086372 0.00295594 14013.403410 29.633826 1692.343189 10.407289
2.40 0.92443770 0.00281529 14007.504252 29.711216 1523.397032 9.772807
2.60 0.89130115 0.00283103 14034.539093 30.371573 1382.838651 9.728786
2.80 0.86155138 0.00280748 14016.859157 30.303272 1255.981039 9.492487
3.00 0.83420273 0.00267225 13992.377818 30.781691 1145.572556 8.831231
3.20 0.80857864 0.00270360 14012.262785 29.714945 1053.882774 8.839555
3.40 0.78443246 0.00264026 14046.201003 29.701724 975.584612 8.511284
3.60 0.76214081 0.00255097 14010.739303 29.993173 901.330951 8.049346
3.80 0.74101858 0.00260075 13984.928714 29.929864 837.034188 8.076004
4.00 0.72102195 0.00268652 13994.033844 29.740415 782.347155 8.241125
