# x(cm), mu_eff(1/cm), std_mu(1/cm), I_0, std_I_0, I(x), std_I(x)
0.20 12.07158754 0.04780606 9925.398298 38.245758 887.612015 7.766919
0.40 7.75683743 0.03472630 9517.873636 35.738678 427.601537 5.718477
0.60 5.70196528 0.02630435 10374.728357 40.108255 338.982673 5.187045
0.80 4.49993515 0.02201792 10391.713051 41.411310 283.955015 4.871995
1.00 3.69999969 0.01803250 10129.687438 39.784872 250.441673 4.407669
1.20 3.10935313 0.01479103 11113.620135 43.334035 266.321153 4.611525
1.40 2.68835224 0.01273671 11050.818179 44.978624 256.355874 4.450506
1.60 2.36062528 0.01116651 11184.706735 44.556786 256.031939 4.459210
1.80 2.11137661 0.00979634 10238.276835 42.259225 228.928725 3.924646
2.00 1.90407986 0.00920841 10254.987413 41.317463 227.547662 4.089191
2.20 1.73305528 0.00812099 10189.461304 40.570330 225.064638 3.919920
2.40 1.59470962 0.00767013 9237.413930 32.259372 201.082274 3.634364
2.60 1.47326427 0.00735236 9036.555072 31.850875 196.084601 3.684112
2.80 1.37145618 0.00709766 8693.717857 27.194378 186.844861 3.666966
3.00 1.28076402 0.00679090 8671.612724 28.286089 185.957472 3.739581
3.20 1.20052360 0.00602813 8703.613490 30.004693 186.758820 3.544584
3.40 1.12589351 0.00541455 9402.042468 31.781220 204.515607 3.701011
3.60 1.06604342 0.00528893 8972.763210 27.369970 193.290190 3.632739
3.80 1.00683394 0.00471020 9623.759366 35.467053 209.772010 3.674211
4.00 0.95157223 0.00441482 10878.897837 30.540082 241.843613 4.216477
