Pump Rate	ROI_c	ROI_l	ROI_r	Front	Mean	Standard Deviation
750	126.1828	133.6596	127.6439	126.8783844	129.1621	3.96286928752388
750	128.825	126.4736	135.8313	121.4020089	130.376633333333	4.86798847814303
750	131.22	127.6439	128.825	120.346037	129.229633333333	1.82206446190395
700	116.9499	119.3988	120.7814	109.96605	119.043366666667	1.94032154637661
700	120.5036	120.2264	123.3105	110.4335937	121.346833333333	1.7062239135979
700	111.4295	116.1449	114.025	109.2999269	113.866466666667	2.36169407488213
650	110.4079	110.6624	112.4605	100.7295843	111.176933333333	1.11886107418809
650	107.3989	104.7129	110.1539	99.4313568	107.4219	2.72057291760393
650	109.6478	112.9796	112.4605	99.2319775	111.695966666667	1.79265340301279
600	98.1748	100.4616	101.1579	90.6366922	99.9314333333333	1.56061812219816
600	101.1579	104.2317	102.8016	91.8383968	102.7304	1.5381364341306
600	102.3293	103.0386	102.8016	92.0399313	102.723166666667	0.361096196786025
550	91.622	93.1108	94.4061	83.2322829	93.0463	1.39317026597613
550	--	--	--	85.6180727	--	--
550	90.3649	92.045	91.622	81.3432396	91.3439666666667	0.873876938323315
500	83.7529	84.3335	84.5279	74.7177807	84.2047666666667	0.4032188652994
500	85.7038	84.7227	86.2979	76.256778	85.5748	0.795483821331394
500	84.1395	81.6582	84.1395	75.6645807	83.3124	1.43257922294022
450	77.8037	76.2079	77.8037	69.9628633	77.2717666666667	0.921335559572813
450	77.983	75.5092	74.817	68.3698641	76.1030666666667	1.66445102461243
450	74.817	74.3019	74.3019	67.9358033	74.4736	0.29739312365957
400	67.6083	67.4528	67.4528	60.6850991	67.5046333333333	0.0897779668589909
400	67.6083	65.4636	65.6145	59.4270913	66.2288	1.19706219136685
400	69.024	66.6807	66.2217	60.7459538	67.3088	1.50303144677681
350	59.5662	57.0164	55.5904	52.1474881	57.391	2.01419718001987
350	56.8853	52.9663	54.0754	50.2685468	54.6423333333333	2.02007433114065
350	59.1562	53.0884	56.6239	51.315339	56.2895	3.04769039274005
